frm,to,wt
1,2,0
2,3,0
1,4,0
4,5,0
2,6,0
4,7,0
4,8,0
1,9,0
4,10,0
7,11,0
4,12,0
9,13,0
7,14,0
2,15,0
7,16,0
5,17,0
1,18,0
1,19,0
3,20,0
10,21,0
15,22,0
1,23,0
6,24,0
9,25,0
15,26,0
15,27,0
23,28,0
25,29,0
19,30,0
2,31,0
18,32,0
1,33,0
12,34,0
28,35,0
29,36,0
7,37,0
7,38,0
4,39,0
23,40,0
24,41,0
40,42,0
28,43,0
5,44,0
4,45,0
9,46,0
15,47,0
29,48,0
15,49,0
2,50,0
6,51,0
27,52,0
31,53,0
4,54,0
10,55,0
9,56,0
37,57,0
34,58,0
1,59,0
5,60,0
33,61,0
48,62,0
45,63,0
38,64,0
43,65,0
10,66,0
24,67,0
1,68,0
39,69,0
46,70,0
46,71,0
7,72,0
22,73,0
7,74,0
32,75,0
7,76,0
23,77,0
60,78,0
10,79,0
48,80,0
37,81,0
38,82,0
57,83,0
30,84,0
1,85,0
24,86,0
1,87,0
2,88,0
37,89,0
8,90,0
49,91,0
10,92,0
32,93,0
83,94,0
39,95,0
23,96,0
57,97,0
93,98,0
84,99,0
91,100,0
22,101,0
1,102,0
5,103,0
39,104,0
79,105,0
57,106,0
8,107,0
3,108,0
63,109,0
24,110,0
1,111,0
109,112,0
13,113,0
83,114,0
7,115,0
39,116,0
5,117,0
18,118,0
67,119,0
91,120,0
105,121,0
48,122,0
46,123,0
63,124,0
73,125,0
98,126,0
24,127,0
28,128,0
64,129,0
119,130,0
97,131,0
25,132,0
121,133,0
93,134,0
111,135,0
1,136,0
121,137,0
22,138,0
28,139,0
5,140,0
88,141,0
136,142,0
97,143,0
26,144,0
97,145,0
35,146,0
93,147,0
9,148,0
114,149,0
5,150,0
14,151,0
23,152,0
38,153,0
139,154,0
7,155,0
108,156,0
86,157,0
23,158,0
116,159,0
92,160,0
10,161,0
10,162,0
12,163,0
59,164,0
155,165,0
141,166,0
94,167,0
34,168,0
60,169,0
83,170,0
19,171,0
165,172,0
72,173,0
23,174,0
1,175,0
60,176,0
102,177,0
9,178,0
83,179,0
132,180,0
160,181,0
64,182,0
31,183,0
38,184,0
140,185,0
105,186,0
1,187,0
28,188,0
6,189,0
102,190,0
181,191,0
37,192,0
8,193,0
155,194,0
162,195,0
145,196,0
165,197,0
104,198,0
43,199,0
162,200,0
