frm,to,wt
1,2,0
1,3,0
2,3,0
1,4,0
2,4,0
3,4,0
3,5,0
4,5,0
2,5,0
5,6,0
3,6,0
2,6,0
5,7,0
6,7,0
2,7,0
6,8,0
3,8,0
4,8,0
2,9,0
6,9,0
1,9,0
7,10,0
8,10,0
5,10,0
6,11,0
1,11,0
5,11,0
5,12,0
10,12,0
7,12,0
11,13,0
3,13,0
2,13,0
1,14,0
12,14,0
9,14,0
5,15,0
8,15,0
3,15,0
2,16,0
6,16,0
15,16,0
4,17,0
5,17,0
13,17,0
6,18,0
2,18,0
4,18,0
4,19,0
3,19,0
6,19,0
19,20,0
5,20,0
2,20,0
12,21,0
2,21,0
7,21,0
7,22,0
3,22,0
5,22,0
9,23,0
1,23,0
13,23,0
2,24,0
4,24,0
5,24,0
5,25,0
11,25,0
20,25,0
7,26,0
15,26,0
4,26,0
2,27,0
9,27,0
7,27,0
14,28,0
10,28,0
2,28,0
22,29,0
13,29,0
19,29,0
13,30,0
5,30,0
22,30,0
8,31,0
1,31,0
2,31,0
18,32,0
12,32,0
19,32,0
5,33,0
6,33,0
3,33,0
4,34,0
1,34,0
10,34,0
4,35,0
13,35,0
33,35,0
6,36,0
28,36,0
13,36,0
7,37,0
29,37,0
8,37,0
1,38,0
30,38,0
23,38,0
27,39,0
7,39,0
22,39,0
20,40,0
1,40,0
18,40,0
11,41,0
7,41,0
12,41,0
23,42,0
5,42,0
6,42,0
25,43,0
23,43,0
2,43,0
15,44,0
25,44,0
29,44,0
5,45,0
2,45,0
9,45,0
37,46,0
3,46,0
2,46,0
24,47,0
32,47,0
40,47,0
44,48,0
18,48,0
33,48,0
44,49,0
9,49,0
32,49,0
9,50,0
28,50,0
29,50,0
24,51,0
7,51,0
47,51,0
40,52,0
47,52,0
36,52,0
24,53,0
11,53,0
7,53,0
18,54,0
29,54,0
11,54,0
8,55,0
6,55,0
15,55,0
4,56,0
5,56,0
7,56,0
17,57,0
11,57,0
31,57,0
40,58,0
21,58,0
5,58,0
58,59,0
19,59,0
7,59,0
1,60,0
25,60,0
3,60,0
3,61,0
45,61,0
22,61,0
5,62,0
59,62,0
27,62,0
30,63,0
59,63,0
58,63,0
20,64,0
28,64,0
10,64,0
6,65,0
29,65,0
7,65,0
5,66,0
31,66,0
29,66,0
25,67,0
33,67,0
63,67,0
52,68,0
33,68,0
10,68,0
2,69,0
47,69,0
29,69,0
13,70,0
9,70,0
19,70,0
4,71,0
5,71,0
8,71,0
25,72,0
67,72,0
29,72,0
67,73,0
25,73,0
2,73,0
63,74,0
28,74,0
7,74,0
5,75,0
1,75,0
59,75,0
5,76,0
6,76,0
37,76,0
45,77,0
20,77,0
21,77,0
3,78,0
6,78,0
41,78,0
4,79,0
7,79,0
32,79,0
18,80,0
1,80,0
56,80,0
25,81,0
60,81,0
29,81,0
42,82,0
47,82,0
10,82,0
56,83,0
4,83,0
12,83,0
10,84,0
70,84,0
82,84,0
53,85,0
67,85,0
64,85,0
12,86,0
36,86,0
2,86,0
6,87,0
33,87,0
18,87,0
50,88,0
15,88,0
85,88,0
22,89,0
76,89,0
36,89,0
44,90,0
47,90,0
49,90,0
25,91,0
78,91,0
3,91,0
13,92,0
16,92,0
8,92,0
8,93,0
80,93,0
46,93,0
78,94,0
56,94,0
2,94,0
64,95,0
31,95,0
36,95,0
50,96,0
31,96,0
22,96,0
3,97,0
18,97,0
68,97,0
2,98,0
19,98,0
3,98,0
94,99,0
79,99,0
28,99,0
14,100,0
71,100,0
7,100,0
55,101,0
2,101,0
23,101,0
8,102,0
25,102,0
88,102,0
70,103,0
24,103,0
7,103,0
55,104,0
33,104,0
100,104,0
92,105,0
78,105,0
5,105,0
8,106,0
89,106,0
2,106,0
13,107,0
7,107,0
55,107,0
6,108,0
20,108,0
11,108,0
3,109,0
38,109,0
9,109,0
97,110,0
55,110,0
65,110,0
80,111,0
59,111,0
66,111,0
57,112,0
2,112,0
98,112,0
10,113,0
72,113,0
39,113,0
70,114,0
25,114,0
28,114,0
90,115,0
3,115,0
7,115,0
93,116,0
66,116,0
6,116,0
50,117,0
5,117,0
86,117,0
91,118,0
92,118,0
36,118,0
28,119,0
73,119,0
83,119,0
26,120,0
64,120,0
67,120,0
18,121,0
6,121,0
63,121,0
39,122,0
7,122,0
25,122,0
43,123,0
30,123,0
67,123,0
7,124,0
98,124,0
47,124,0
117,125,0
38,125,0
4,125,0
11,126,0
19,126,0
15,126,0
12,127,0
98,127,0
58,127,0
76,128,0
2,128,0
69,128,0
95,129,0
105,129,0
86,129,0
47,130,0
2,130,0
12,130,0
31,131,0
87,131,0
69,131,0
78,132,0
101,132,0
67,132,0
18,133,0
3,133,0
6,133,0
27,134,0
39,134,0
52,134,0
10,135,0
67,135,0
124,135,0
1,136,0
4,136,0
20,136,0
1,137,0
76,137,0
25,137,0
9,138,0
125,138,0
27,138,0
22,139,0
70,139,0
127,139,0
5,140,0
23,140,0
38,140,0
47,141,0
21,141,0
19,141,0
94,142,0
22,142,0
112,142,0
42,143,0
38,143,0
1,143,0
55,144,0
20,144,0
48,144,0
70,145,0
80,145,0
21,145,0
4,146,0
57,146,0
7,146,0
99,147,0
3,147,0
17,147,0
2,148,0
21,148,0
77,148,0
59,149,0
80,149,0
6,149,0
13,150,0
20,150,0
65,150,0
4,151,0
22,151,0
84,151,0
140,152,0
2,152,0
22,152,0
126,153,0
110,153,0
44,153,0
29,154,0
44,154,0
148,154,0
34,155,0
88,155,0
33,155,0
18,156,0
6,156,0
44,156,0
25,157,0
67,157,0
59,157,0
50,158,0
138,158,0
139,158,0
25,159,0
11,159,0
53,159,0
89,160,0
55,160,0
46,160,0
36,161,0
109,161,0
41,161,0
6,162,0
16,162,0
100,162,0
28,163,0
127,163,0
59,163,0
100,164,0
86,164,0
81,164,0
131,165,0
59,165,0
90,165,0
78,166,0
112,166,0
1,166,0
1,167,0
6,167,0
159,167,0
67,168,0
45,168,0
5,168,0
127,169,0
168,169,0
92,169,0
40,170,0
3,170,0
25,170,0
60,171,0
19,171,0
126,171,0
99,172,0
103,172,0
12,172,0
85,173,0
133,173,0
18,173,0
59,174,0
19,174,0
3,174,0
7,175,0
13,175,0
1,175,0
109,176,0
24,176,0
170,176,0
139,177,0
119,177,0
45,177,0
3,178,0
170,178,0
119,178,0
4,179,0
71,179,0
143,179,0
98,180,0
50,180,0
167,180,0
119,181,0
7,181,0
3,181,0
63,182,0
22,182,0
5,182,0
55,183,0
5,183,0
25,183,0
44,184,0
66,184,0
8,184,0
115,185,0
5,185,0
155,185,0
20,186,0
15,186,0
70,186,0
104,187,0
148,187,0
41,187,0
127,188,0
72,188,0
157,188,0
63,189,0
2,189,0
115,189,0
46,190,0
149,190,0
65,190,0
39,191,0
59,191,0
167,191,0
17,192,0
29,192,0
47,192,0
25,193,0
5,193,0
19,193,0
50,194,0
34,194,0
173,194,0
181,195,0
25,195,0
40,195,0
15,196,0
104,196,0
127,196,0
21,197,0
16,197,0
1,197,0
82,198,0
47,198,0
15,198,0
2,199,0
189,199,0
164,199,0
129,200,0
21,200,0
63,200,0
