frm,to,len_mi
5,9,0.888660305853352
9,14,0.688639078102746
16,17,0.776563630947664
6,22,0.145559542364765
10,25,0.7511499254836
19,27,0.466478862245413
2,29,0.358239452827233
12,31,0.502184287487449
29,31,0.487436161923339
31,34,0.0444713730853737
15,35,0.599890700002641
13,36,0.559572702153907
30,36,0.468037625224657
24,37,0.393636765806849
32,37,0.256723946420354
10,38,0.697447969790455
21,38,0.466883002925821
35,38,0.409876165241359
14,40,0.499246419273772
29,40,0.182566573423769
20,44,0.567609535815866
16,45,0.65135011049997
14,46,0.603334494407088
30,46,0.448539104992435
27,48,0.833583384888262
2,49,0.323348870668389
8,49,0.164438571412841
27,49,0.570987575975197
11,50,0.217267760105181
28,50,0.530419713780519
47,52,0.312932623841954
23,53,0.198572449575936
15,54,0.572802485528161
18,54,0.746043106136848
14,55,0.535868363636743
36,55,0.545922040842176
44,55,1.02756057830936
46,55,0.823720575799839
35,56,0.288024708582292
9,57,0.503595515324756
42,57,0.393912075544829
47,57,0.309146558721493
10,58,0.838984073208973
36,58,0.50845657962653
12,59,0.521038987085188
50,59,1.05190781355327
5,60,0.921056497714612
23,61,0.805744585760131
38,61,0.180463191604616
2,63,0.445726456388487
58,63,0.647638675232729
14,65,0.947489374154018
40,65,0.448411353753655
31,66,0.28824522577394
23,67,0.372683598958908
32,67,0.142341566798905
14,68,0.771916316976913
22,69,0.284711515342602
25,69,0.621015212925727
7,71,0.4060063733075
20,71,0.209202604457309
13,72,0.263949304809922
49,72,0.196671542469857
10,75,0.420695401449165
52,75,0.95792162796891
66,76,0.550906708209954
31,77,0.777408527024124
44,77,0.749935532802366
3,78,0.963277590564086
16,79,0.775485594799905
44,79,0.135410855357354
2,80,0.855562945462323
3,81,0.983545758353245
34,81,0.281898667405002
17,82,0.831412775977812
20,82,0.312804466432569
49,82,0.287416724915373
5,83,0.866604025368269
19,83,0.214244336331577
28,84,0.686493767283811
11,85,0.46187543750468
10,87,0.899239214491808
43,87,0.850035391475493
69,87,0.727191394057092
74,87,0.12289149781865
25,89,0.199749007309324
38,89,0.231083666534383
54,89,0.237033976168331
65,89,0.481132336848906
68,89,0.218021638568505
74,89,0.217993732652319
53,90,0.780593981714755
9,91,0.119170728975125
14,91,0.678486589795778
31,91,0.778283113174549
11,94,0.36942051160464
21,94,0.464802808207702
10,95,0.623756080185847
40,95,0.374983041595682
65,95,0.743875121528665
74,95,0.348832906918647
77,96,0.976257304994296
17,97,0.808750594913099
51,97,0.747280164157118
33,98,0.868041062907085
55,98,0.671388324890386
33,99,0.539726019050726
38,99,0.271771012659888
61,99,0.230396503449758
8,100,0.283638112472378
37,100,0.553688384237687
5,101,0.931413543532719
12,101,0.801538097786024
6,102,0.630601194144444
70,102,0.934915770495585
81,102,0.960706551566355
99,102,0.521153148561061
37,103,0.712694820733903
9,104,0.660224239821355
20,104,0.133574491843551
28,104,0.164964590002739
72,104,0.296533872297466
83,105,0.3444742986479
84,105,0.779454431644601
32,106,0.908108884363379
93,106,0.626531700344979
1,107,0.602775133415433
19,109,0.264515484008774
4,110,0.596866283730666
32,110,0.569317331510208
39,110,0.624987354428321
1,111,0.775282931021466
10,111,0.327725851166277
35,111,0.568017069959446
92,112,0.208391989683292
52,114,0.347189175909788
66,114,0.236670801144158
31,115,0.259179649545214
44,115,0.792606717589043
92,115,0.642549871786025
20,116,0.401832518275352
39,116,0.47275471936182
56,117,0.172238673303537
22,118,0.405078069424092
36,119,0.603040250760443
57,119,0.895806707747695
91,119,0.76728293875808
9,120,1.1577957326951
14,120,0.69219756719558
33,120,0.947343798900838
98,120,0.395632798624217
104,120,0.572645428776967
80,121,0.846086444396934
9,122,0.655586486353876
