frm,to,wt
1,2,0
1,3,0
2,3,0
3,4,0
1,4,0
2,5,0
4,5,0
5,6,0
1,6,0
3,7,0
4,7,0
2,8,0
6,8,0
2,9,0
1,9,0
8,10,0
9,10,0
6,11,0
3,11,0
8,12,0
10,12,0
4,13,0
3,13,0
9,14,0
5,14,0
8,15,0
9,15,0
3,16,0
8,16,0
5,17,0
11,17,0
13,18,0
7,18,0
4,19,0
3,19,0
3,20,0
8,20,0
17,21,0
9,21,0
19,22,0
17,22,0
13,23,0
2,23,0
4,24,0
13,24,0
9,25,0
10,25,0
13,26,0
24,26,0
6,27,0
12,27,0
18,28,0
13,28,0
9,29,0
19,29,0
12,30,0
8,30,0
25,31,0
30,31,0
1,32,0
22,32,0
6,33,0
8,33,0
18,34,0
24,34,0
8,35,0
2,35,0
33,36,0
1,36,0
14,37,0
5,37,0
24,38,0
20,38,0
10,39,0
2,39,0
4,40,0
9,40,0
21,41,0
9,41,0
3,42,0
8,42,0
4,43,0
13,43,0
3,44,0
4,44,0
38,45,0
43,45,0
13,46,0
4,46,0
17,47,0
43,47,0
21,48,0
12,48,0
24,49,0
13,49,0
4,50,0
3,50,0
32,51,0
8,51,0
1,52,0
17,52,0
3,53,0
10,53,0
16,54,0
27,54,0
27,55,0
34,55,0
28,56,0
1,56,0
18,57,0
9,57,0
8,58,0
23,58,0
6,59,0
9,59,0
3,60,0
20,60,0
22,61,0
5,61,0
13,62,0
31,62,0
3,63,0
27,63,0
16,64,0
4,64,0
3,65,0
59,65,0
55,66,0
10,66,0
16,67,0
4,67,0
54,68,0
50,68,0
43,69,0
40,69,0
50,70,0
10,70,0
6,71,0
49,71,0
42,72,0
24,72,0
3,73,0
18,73,0
12,74,0
9,74,0
9,75,0
73,75,0
18,76,0
4,76,0
12,77,0
27,77,0
3,78,0
36,78,0
48,79,0
20,79,0
59,80,0
21,80,0
58,81,0
1,81,0
72,82,0
39,82,0
43,83,0
5,83,0
66,84,0
17,84,0
21,85,0
55,85,0
46,86,0
47,86,0
17,87,0
12,87,0
1,88,0
51,88,0
30,89,0
65,89,0
31,90,0
50,90,0
57,91,0
21,91,0
26,92,0
16,92,0
84,93,0
27,93,0
48,94,0
8,94,0
63,95,0
37,95,0
21,96,0
83,96,0
45,97,0
13,97,0
8,98,0
4,98,0
20,99,0
71,99,0
78,100,0
13,100,0
7,101,0
5,101,0
4,102,0
11,102,0
55,103,0
1,103,0
102,104,0
14,104,0
80,105,0
39,105,0
21,106,0
14,106,0
6,107,0
58,107,0
94,108,0
102,108,0
22,109,0
87,109,0
34,110,0
39,110,0
78,111,0
92,111,0
4,112,0
58,112,0
16,113,0
7,113,0
20,114,0
68,114,0
16,115,0
8,115,0
102,116,0
16,116,0
33,117,0
50,117,0
4,118,0
102,118,0
4,119,0
5,119,0
108,120,0
40,120,0
2,121,0
7,121,0
27,122,0
21,122,0
26,123,0
10,123,0
12,124,0
3,124,0
80,125,0
4,125,0
58,126,0
6,126,0
116,127,0
75,127,0
27,128,0
105,128,0
52,129,0
86,129,0
3,130,0
56,130,0
87,131,0
11,131,0
9,132,0
1,132,0
19,133,0
6,133,0
32,134,0
6,134,0
8,135,0
65,135,0
3,136,0
13,136,0
33,137,0
47,137,0
36,138,0
9,138,0
98,139,0
126,139,0
7,140,0
1,140,0
56,141,0
81,141,0
4,142,0
92,142,0
17,143,0
4,143,0
135,144,0
108,144,0
128,145,0
56,145,0
37,146,0
21,146,0
125,147,0
65,147,0
147,148,0
8,148,0
3,149,0
4,149,0
142,150,0
146,150,0
9,151,0
84,151,0
79,152,0
2,152,0
98,153,0
49,153,0
45,154,0
21,154,0
38,155,0
105,155,0
144,156,0
64,156,0
139,157,0
51,157,0
4,158,0
94,158,0
25,159,0
70,159,0
29,160,0
6,160,0
159,161,0
92,161,0
116,162,0
108,162,0
74,163,0
111,163,0
11,164,0
49,164,0
67,165,0
56,165,0
74,166,0
28,166,0
92,167,0
69,167,0
71,168,0
23,168,0
167,169,0
9,169,0
49,170,0
10,170,0
21,171,0
44,171,0
124,172,0
93,172,0
101,173,0
12,173,0
102,174,0
32,174,0
17,175,0
66,175,0
98,176,0
166,176,0
70,177,0
133,177,0
115,178,0
57,178,0
153,179,0
135,179,0
152,180,0
91,180,0
3,181,0
95,181,0
102,182,0
5,182,0
67,183,0
36,183,0
13,184,0
27,184,0
155,185,0
152,185,0
68,186,0
59,186,0
155,187,0
64,187,0
2,188,0
165,188,0
13,189,0
109,189,0
138,190,0
1,190,0
182,191,0
91,191,0
4,192,0
56,192,0
32,193,0
4,193,0
132,194,0
24,194,0
77,195,0
165,195,0
1,196,0
27,196,0
9,197,0
71,197,0
98,198,0
87,198,0
51,199,0
6,199,0
93,200,0
69,200,0
